index,region,kind,bucket,bit_position_tag,region_bits,n,n_samples,mean_dR@10,mean_dRecall@10,p99_dR@10,max_dR@10,mean_dRecall@1,mean_dRecall@100,mean_dTol,pct_benign,pct_catastrophic,pct_catastrophic_abs,ci95_low,ci95_high,n_silent_wrong,n_nan_inf,n_crash,n_clean,baseline_mode,seed
IVF_PQ_M8,centroid,centroid,recall_relevant,sign,4194304,500,500,3.788000000003277e-05,3.788000000003277e-05,0.0004105000000000215,0.0009300000000000419,3.3400000000011864e-05,4.0800000000032366e-05,3.992000000000717e-05,86.2,0.0,0.0,2.9516238017627726e-05,4.6243761982437824e-05,263,0,0,237,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b0,128000000,125,125,8.000000000230045e-08,8.000000000230045e-08,1.0000000000065512e-05,1.0000000000065512e-05,8.000000000003559e-07,2.3200000000667132e-07,8.000000000008e-08,100.0,0.0,0.0,-2.7520469792668715e-07,4.352046979312881e-07,3,0,0,122,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b1,128000000,125,125,1.6000000000193637e-07,1.6000000000193637e-07,1.0000000000065512e-05,1.0000000000065512e-05,0.0,3.3600000000655327e-07,1.6000000000016e-07,100.0,0.0,0.0,-1.5668481865601485e-07,4.766848186598876e-07,3,0,0,122,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b2,128000000,125,125,8.000000000230045e-08,8.000000000230045e-08,1.0000000000065512e-05,1.0000000000065512e-05,1.6000000000007119e-06,3.440000000085597e-07,8.000000000008e-08,100.0,0.0,0.0,-2.7520469792668715e-07,4.352046979312881e-07,3,0,0,122,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b3,128000000,125,125,8.000000000141227e-08,8.000000000141227e-08,7.60000000004984e-06,1.0000000000065512e-05,0.0,2.7200000000737745e-07,-8.000000000008e-08,100.0,0.0,0.0,-1.9499335993939676e-07,3.549933599422213e-07,2,0,0,123,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b4,128000000,125,125,4.800000000031446e-07,4.800000000031446e-07,1.0000000000065512e-05,2.0000000000020002e-05,8.000000000003559e-07,3.2000000000742547e-07,4.0000000000040005e-07,100.0,0.0,0.0,-1.5445341948039333e-08,9.754453419543284e-07,6,0,0,119,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b5,128000000,125,125,2.400000000015723e-07,2.400000000015723e-07,1.0000000000065512e-05,1.0000000000065512e-05,0.0,1.840000000070674e-07,2.4000000000024e-07,100.0,0.0,0.0,-3.203635615448587e-08,5.120363561576304e-07,3,0,0,122,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b6,128000000,125,125,4.800000000022563e-07,4.800000000022563e-07,1.0000000000065512e-05,2.0000000000020002e-05,0.0,3.6000000000679934e-07,5.6000000000056e-07,100.0,0.0,0.0,3.850588062821504e-08,9.214941193762977e-07,5,0,0,120,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b7,128000000,125,125,4.800000000031446e-07,4.800000000031446e-07,1.0000000000065512e-05,1.0000000000065512e-05,8.000000000003559e-07,3.280000000072114e-07,4.8000000000048e-07,100.0,0.0,0.0,1.0004207072267541e-07,8.599579292836137e-07,6,0,0,119,own,1234
IVF_PQ_M8,pq_codebook,pq_codebook,recall_relevant,exponent,1048576,1000,1000,0.0003454400000000352,0.0003454400000000352,0.0023009000000000237,0.005330000000000057,0.00031800000000001575,0.0003965970000000339,0.0003516700000000085,47.3,0.0,0.0,0.0003121869001458031,0.0003786930998542673,707,0,0,293,own,1234
IVF_PQ_M8,pq_codebook,pq_codebook,recall_relevant,mantissa-high,1048576,1000,1000,-9.99999999936052e-08,-9.99999999936052e-08,2.010000000002001e-05,0.0001200000000000645,1.0000000000071063e-07,3.4000000007305964e-08,-7.999999999930285e-08,99.9,0.0,0.0,-5.510946400267738e-07,3.5109464003956337e-07,58,0,0,942,own,1234
IVF_PQ_M8,pq_codebook,pq_codebook,recall_relevant,mantissa-low,1048576,1000,1000,-9.99999999995449e-09,-9.99999999995449e-09,0.0,0.0,0.0,1.0000000000287558e-09,-2.000000000002e-08,100.0,0.0,0.0,-2.962341461119967e-08,9.623414611290689e-09,0,0,0,1000,own,1234
